"app_id","rawg_rating","rawg_ratings_count","rawg_added","rawg_id","rawg_score","rawg_status_yet","rawg_status_owned","rawg_status_beaten","rawg_status_toplay","rawg_status_dropped","rawg_status_playing"
"1140290","3.5","27","432","380862.0","74.945854","64","295","22","23","20","8"
"445310","3.22","23","217","18089.0","112.37137","15","180","11","4","7","0"
"1033420","0.0","1","37","362813.0","80.826126","2","28","4","3","0","0"
"797410","1.81","128","3416","61961.0","68.766495","197","3168","1","1","46","3"
"495990","0.0","0","28","14488.0","73.01065","0","27","0","0","0","1"
"495280","4.0","28","486","13325.0","91.17991","39","424","9","7","7","0"
"917720","3.26","122","1590","486733.0","37.01336","39","1418","33","7","83","10"
"773670","3.56","18","145","51477.0","61.928104","3","123","16","2","1","0"
"2183650","0.0","0","20","965825.0","53.92816","0","16","0","2","1","1"
"3238670","0.0","1","9","1002450.0","53.746372","0","6","0","0","3","0"
"600370","3.17","44","1154","10667.0","59.91635","142","959","19","12","17","5"
"1580790","3.77","22","224","615054.0","116.775406","22","156","27","9","4","6"
"898650","3.32","54","1053","244806.0","76.3604","57","924","38","22","11","1"
"885000","4.12","8","245","60894.0","76.44058","8","226","1","2","3","5"
"1072500","3.72","29","167","403043.0","78.59544","1","135","4","9","12","6"
"2694420","0.0","5","63","989988.0","67.22165","27","21","1","5","9","0"
"742250","3.46","12","209","46657.0","101.85945","17","173","9","5","4","1"
"2522520","0.0","0","4","964932.0","33.62358","0","4","0","0","0","0"
"995980","3.0","20","886","274849.0","77.94287","45","804","1","21","12","3"
"1411740","3.25","8","100","816441.0","82.83798","5","86","2","4","3","0"
"1337890","3.89","9","54","971316.0","103.220924","2","37","13","1","1","0"
"2389240","0.0","2","12","960219.0","54.240967","1","7","3","1","0","0"
"595500","0.0","1","58","50807.0","73.59463","2","39","2","13","0","2"
"1193090","0.0","2","42","392277.0","52.024704","2","32","1","4","1","2"
"1420770","3.64","44","120","39716.0","26.499641","4","22","72","16","4","2"
"828900","3.39","40","1037","61377.0","98.083755","85","864","25","41","19","3"
"1155330","3.5","8","344","960332.0","66.979126","27","290","6","17","2","2"
"410980","3.98","65","510","15666.0","75.73634","31","432","21","9","15","2"
"415880","2.98","222","1157","214.0","70.83431","29","935","37","1","152","3"
"1028470","0.0","0","0","299609.0","53.720848","0","0","0","0","0","0"
"1433990","3.12","8","287","581066.0","82.32876","4","275","0","2","6","0"
"427940","3.72","18","158","45936.0","75.33181","13","94","3","33","14","1"
"2477090","0.0","1","39","801407.0","58.245674","6","22","2","8","1","0"
"1043180","3.19","20","276","306030.0","72.810776","13","243","12","3","4","1"
"927890","2.74","41","322","268426.0","82.45454","14","268","29","3","6","2"
"3314060","0.0","0","8","997092.0","70.61567","0","4","0","3","0","1"
"457680","3.13","15","268","3000.0","114.731186","17","231","12","4","2","2"
"1914580","0.0","4","54","791745.0","103.149765","1","47","1","0","5","0"
"1822910","0.0","5","44","754922.0","64.983795","2","34","3","4","1","0"
"1559600","0.0","0","7","960760.0","67.003845","1","5","0","1","0","0"
"1131190","2.8","10","306","540031.0","72.82948","7","283","5","2","8","1"
"1451810","2.93","13","248","945130.0","84.00405","31","171","5","21","17","3"
"1440670","0.0","0","54","548139.0","69.27707","2","51","0","1","0","0"
"574090","3.17","53","1111","13533.0","69.30722","113","926","11","20","39","2"
"656200","0.0","0","0","961914.0","38.64299","0","0","0","0","0","0"
"999860","1.67","6","239","282899.0","75.87413","8","225","0","0","5","1"
"2228280","0.0","4","15","988051.0","54.39148","4","4","0","3","3","1"
"883860","2.57","7","202","61165.0","87.40504","1","199","1","0","1","0"
"748300","0.0","3","16","625835.0","57.661488","2","11","0","0","3","0"
"328070","2.87","15","170","11826.0","73.147156","4","152","1","2","10","1"
"375900","3.48","619","3006","2659.0","78.148346","108","2377","86","23","375","37"
"2242710","0.0","1","3","964546.0","66.63563","0","2","1","0","0","0"
"885570","0.0","1","107","61383.0","47.645004","1","105","0","0","1","0"
"644390","0.0","0","3","126564.0","37.697906","0","3","0","0","0","0"
"852220","2.88","8","115","62427.0","62.579113","4","101","4","1","5","0"
"1178160","0.0","0","71","491994.0","75.204254","0","71","0","0","0","0"
"744060","3.73","11","78","1990.0","72.10501","0","68","3","0","3","4"
"1904860","3.83","6","59","738058.0","74.59285","3","49","3","2","2","0"
"1622770","3.57","25","157","672464.0","84.88755","58","64","20","6","6","3"
"817510","2.67","6","48","62539.0","114.92492","1","39","4","1","3","0"
"1663040","0.0","0","5","616694.0","60.984","0","3","0","2","0","0"
"513450","2.9","10","326","14293.0","71.12216","10","303","0","2","11","0"
"1482380","0.0","0","1","111430.0","48.561073","0","0","0","1","0","0"
"2883280","0.0","4","9","981023.0","57.448147","0","4","5","0","0","0"
"2084940","0.0","0","3","839109.0","53.841515","1","2","0","0","0","0"
"1005930","3.62","13","56","285671.0","32.054462","3","37","9","5","2","0"
"2060160","0.0","2","41","925091.0","66.55405","2","32","1","3","1","2"
"639170","3.47","65","206","28039.0","80.656555","18","98","62","16","10","2"
"1332470","2.58","12","278","484813.0","105.4695","3","267","1","1","5","1"
"1210030","0.0","0","3","428876.0","49.48138","0","3","0","0","0","0"
"1034860","4.43","7","148","364815.0","78.50206","12","121","1","9","2","3"
"1591420","0.0","0","1","593352.0","64.69524","0","1","0","0","0","0"
"1010800","0.0","0","1","292087.0","33.53498","0","0","0","1","0","0"
"268990","4.47","17","209","22152.0","106.37158","6","175","15","8","5","0"
"2552450","3.77","39","167","327224.0","70.3982","22","24","56","58","2","5"
"1078760","3.57","6","66","613534.0","112.12085","6","51","3","2","4","0"
"1000080","0.0","1","4","537747.0","39.890022","1","1","0","1","1","0"
"1882500","0.0","1","26","968185.0","91.375404","1","18","1","5","0","1"
"537450","3.26","122","1590","486733.0","90.3618","39","1418","33","7","83","10"
"968790","3.71","7","39","3708.0","65.56241","3","21","8","2","4","1"
"525360","3.33","6","60","12339.0","59.429462","2","54","0","1","2","1"
"2971610","0.0","0","0","845683.0","50.286995","0","0","0","0","0","0"
"495050","3.65","39","409","44460.0","97.570786","25","329","29","8","11","7"
"839630","0.0","0","0","570254.0","25.352146","0","0","0","0","0","0"
"1003520","3.05","19","187","284684.0","68.83424","8","160","7","4","5","3"
"431540","3.57","51","577","14394.0","74.67404","12","513","43","2","5","2"
"1484800","0.0","0","2","499704.0","76.11119","0","0","0","2","0","0"
"1222300","0.0","0","0","244324.0","62.961662","0","0","0","0","0","0"
"1110100","3.04","26","304","288800.0","103.28192","12","251","14","11","13","3"
"1419850","0.0","0","6","967122.0","54.04766","0","6","0","0","0","0"
"747350","3.57","243","4020","60179.0","125.30503","302","3540","86","25","51","16"
