"app_id","full_audio_languages"
"480490","Portuguese - Brazil"
"480490","Spanish - Spain"
"480490","Polish"
"480490","Simplified Chinese"
"480490","Japanese"
"480490","Russian"
"480490","Italian"
"1089980","English"
"1371980","English"
"1371980","Russian"
"870780","German"
"870780","English"
"870780","French"
"870780","Traditional Chinese"
"870780","Spanish - Spain"
"2344520","German"
"2344520","English"
"2344520","French"
"2344520","Portuguese - Brazil"
"2344520","Traditional Chinese"
"2344520","Korean"
"2344520","Spanish - Spain"
"2344520","Polish"
"2344520","Simplified Chinese"
"2344520","Japanese"
"2344520","Turkish"
"2344520","Spanish - Latin America"
"2344520","Russian"
"2344520","Italian"
"1846380","German"
"1846380","English"
"1846380","French"
"1846380","Traditional Chinese"
"1846380","Spanish - Spain"
"1846380","Polish"
"1846380","Simplified Chinese"
"1846380","Japanese"
"1846380","Italian"
"644930","English"
"644930","Italian"
"3097560","English"
"3097560","Russian"
"933110","German"
"933110","English"
"933110","French"
"933110","Portuguese - Brazil"
"933110","Vietnamese"
